Rank,Markets,Base price,24h trade volume,24h volume
118,COTI/USDT,$0.1076,$20.00 million,$20.00 million
119,DGB/USDT,$0.0515,$19.82 million,$19.82 million
120,LIT/BTC,$6.84,$19.61 million,$19.61 million
121,COMP/BTC,$483.00,$19.42 million,$19.42 million
122,ZIL/BTC,$0.0945,$19.11 million,$19.11 million
123,SOL/BTC,$7.90,$18.78 million,$18.78 million
124,BAT/USDT,$0.4349,$18.65 million,$18.65 million
125,GRT/BTC,$0.9754,$18.29 million,$18.29 million
126,ADA/ETH,$0.6932,$18.23 million,$18.23 million
127,KSM/USDT,$130.49,$18.16 million,$18.16 million
128,MKR/USDT,$2540.80,$17.87 million,$17.87 million
129,CHZ/USDT,$0.02702,$17.05 million,$17.05 million
131,AUD/USDT,$0.7691,$16.80 million,$16.80 million
130,XEM/BTC,$0.3363,$16.79 million,$16.79 million
132,KNC/USDT,$1.93,$16.30 million,$16.30 million
133,TFUEL/USDT,$0.0428,$15.81 million,$15.81 million
135,NPXS/ETH,$0.000981,$15.72 million,$15.72 million
134,KNC/BTC,$1.92,$15.72 million,$15.72 million
136,ANKR/USDT,$0.01967,$15.63 million,$15.63 million
137,OMG/BTC,$5.16,$15.53 million,$15.53 million
138,RVN/USDT,$0.0417,$15.40 million,$15.40 million
139,DGB/BTC,$0.0513,$15.38 million,$15.38 million
140,LRC/USDT,$0.6676,$15.33 million,$15.33 million
141,XVG/BTC,$0.01975,$15.24 million,$15.24 million
142,SC/USDT,$0.01039,$15.17 million,$15.17 million
143,JST/USDT,$0.0473,$14.93 million,$14.93 million
144,COTI/BTC,$0.1072,$14.65 million,$14.65 million
145,MDT/BTC,$0.0550,$14.62 million,$14.62 million
146,OGN/BTC,$0.5009,$14.53 million,$14.53 million
147,ONE/BTC,$0.01928,$14.46 million,$14.46 million
148,CRV/BTC,$3.20,$14.39 million,$14.39 million
149,MFT/USDT,$0.01633,$14.28 million,$14.28 million
150,AXS/USDT,$1.28,$14.27 million,$14.27 million
151,ZRX/BTC,$1.54,$14.14 million,$14.14 million
152,STX/BTC,$0.5446,$13.89 million,$13.89 million
153,PAX/USDT,$1.00,$13.85 million,$13.85 million
154,BAND/BTC,$13.60,$13.77 million,$13.77 million
155,INJ/BTC,$15.23,$13.72 million,$13.72 million
156,CELR/USDT,$0.01788,$13.57 million,$13.57 million
157,QTUM/BTC,$4.98,$13.54 million,$13.54 million
158,TRB/USDT,$42.81,$13.37 million,$13.37 million
159,FTT/USDT,$18.42,$13.29 million,$13.29 million
160,TOMO/USDT,$1.81,$13.19 million,$13.19 million
161,DIA/USDT,$2.61,$12.75 million,$12.75 million
162,NANO/BTC,$4.64,$12.70 million,$12.70 million
163,ETHOS/BTC,$2.46,$12.62 million,$12.62 million
164,SC/BTC,$0.01035,$12.51 million,$12.51 million
165,ZEC/BTC,$107.75,$12.19 million,$12.19 million
166,ADA/BNB,$0.6980,$12.16 million,$12.16 million
167,REN/BTC,$0.8799,$11.95 million,$11.95 million
168,ANKR/BTC,$0.01975,$11.76 million,$11.76 million
169,XRP/ETH,$0.4762,$11.75 million,$11.75 million
170,BTC/TUSD,$47290.52,$11.75 million,$11.75 million
171,FET/BTC,$0.2422,$11.66 million,$11.66 million
172,MANA/USDT,$0.2395,$11.64 million,$11.64 million
173,IOST/BTC,$0.02069,$11.15 million,$11.15 million
174,BZRX/USDT,$0.5625,$11.15 million,$11.15 million
175,ETH/PAX,$1754.66,$11.15 million,$11.15 million
176,TRX/ETH,$0.0477,$10.79 million,$10.79 million
177,ETC/BTC,$9.58,$10.27 million,$10.27 million
178,XRP/BNB,$0.4797,$10.20 million,$10.20 million
179,SKL/USDT,$0.2096,$10.07 million,$10.07 million
180,PNT/BTC,$1.09,$9.98 million,$9.98 million
181,EGLD/BNB,$197.47,$9.95 million,$9.95 million
182,BLZ/USDT,$0.1707,$9.69 million,$9.69 million
183,UMA/USDT,$28.72,$9.58 million,$9.58 million
184,TROY/BTC,$0.00800,$9.54 million,$9.54 million
185,BAT/BTC,$0.4331,$9.53 million,$9.53 million
186,CELR/BTC,$0.01787,$9.49 million,$9.49 million
187,ONT/BTC,$0.8371,$9.45 million,$9.45 million
188,RVN/BTC,$0.0419,$9.42 million,$9.42 million
189,KEY/USDT,$0.00538,$9.34 million,$9.34 million
190,BNB/USDC,$104.59,$9.20 million,$9.20 million
191,DOT/BNB,$23.26,$8.90 million,$8.90 million
192,ICX/BTC,$0.9260,$8.85 million,$8.85 million
193,STORJ/USDT,$0.5961,$8.69 million,$8.69 million
194,DASH/BTC,$130.98,$8.50 million,$8.50 million
195,ENJ/BTC,$0.4242,$8.31 million,$8.31 million
196,VET/ETH,$0.03669,$8.28 million,$8.28 million
197,RSR/BTC,$0.0466,$8.12 million,$8.12 million
198,FTM/BTC,$0.1496,$8.06 million,$8.06 million
199,EOS/ETH,$4.13,$7.94 million,$7.94 million
200,CVC/USDT,$0.2443,$7.86 million,$7.86 million
201,PERL/USDT,$0.0642,$7.53 million,$7.53 million
202,CHR/USDT,$0.0538,$7.52 million,$7.52 million
203,MTL/USDT,$0.6941,$7.27 million,$7.27 million
204,HBAR/BTC,$0.1082,$7.17 million,$7.17 million
205,PAXG/USDT,$1856.61,$7.12 million,$7.12 million
206,LTO/BTC,$0.3306,$6.96 million,$6.96 million
207,DENT/ETH,$0.000753,$6.93 million,$6.93 million
208,KSM/BTC,$130.04,$6.91 million,$6.91 million
209,BTS/USDT,$0.0524,$6.80 million,$6.80 million
210,OXT/USDT,$0.4471,$6.76 million,$6.76 million
211,LRC/BTC,$0.6631,$6.75 million,$6.75 million
212,TFUEL/BTC,$0.0428,$6.72 million,$6.72 million
213,RLC/USDT,$1.69,$6.72 million,$6.72 million
214,MBL/USDT,$0.00219,$6.63 million,$6.63 million
215,MKR/BTC,$2526.65,$6.60 million,$6.60 million
216,AVAX/BNB,$31.60,$6.60 million,$6.60 million
217,HOT/ETH,$0.001209,$6.38 million,$6.38 million
218,LTC/ETH,$176.82,$6.32 million,$6.32 million
219,SRM/BTC,$3.34,$6.29 million,$6.29 million
221,BNT/USDT,$2.73,$6.29 million,$6.29 million
220,KAVA/BTC,$3.99,$6.28 million,$6.28 million
222,AKRO/BTC,$0.0475,$6.23 million,$6.23 million
223,ANT/USDT,$5.71,$5.86 million,$5.86 million
224,LINK/ETH,$26.45,$5.86 million,$5.86 million
225,WAN/USDT,$0.6320,$5.82 million,$5.82 million
226,ARPA/USDT,$0.03373,$5.74 million,$5.74 million
227,FTT/BTC,$18.34,$5.72 million,$5.72 million
228,CKB/USDT,$0.00784,$5.61 million,$5.61 million
229,MDT/USDT,$0.0550,$5.52 million,$5.52 million
230,GTO/USDT,$0.02224,$5.49 million,$5.49 million
231,STRAX/USDT,$0.9560,$5.34 million,$5.34 million
232,OST/BTC,$0.01787,$5.31 million,$5.31 million
233,HIVE/USDT,$0.1960,$5.25 million,$5.25 million
234,TOMO/BTC,$1.81,$5.13 million,$5.13 million
235,HNT/USDT,$3.93,$5.13 million,$5.13 million
236,ADA/USDC,$0.6930,$4.91 million,$4.91 million
237,ZEN/BTC,$42.85,$4.86 million,$4.86 million
238,LTO/USDT,$0.3315,$4.75 million,$4.75 million
239,FUN/USDT,$0.0376,$4.71 million,$4.71 million
240,CHZ/BTC,$0.02728,$4.63 million,$4.63 million
241,ETH/TUSD,$1755.76,$4.57 million,$4.57 million
242,XRP/USDC,$0.4769,$4.57 million,$4.57 million
243,NULS/BTC,$0.4590,$4.50 million,$4.50 million
244,DIA/BTC,$2.60,$4.49 million,$4.49 million
245,FIL/BNB,$37.70,$4.39 million,$4.39 million
246,AXS/BTC,$1.28,$4.38 million,$4.38 million
247,LTC/USDC,$176.04,$4.35 million,$4.35 million
249,UNI/BNB,$19.71,$4.32 million,$4.32 million
248,GO/BTC,$0.02304,$4.32 million,$4.32 million
250,TRX/USDC,$0.0478,$4.15 million,$4.15 million
251,AAVE/ETH,$499.32,$4.14 million,$4.14 million
252,DNT/USDT,$0.1949,$4.07 million,$4.07 million
253,ORN/USDT,$5.40,$4.01 million,$4.01 million
254,AION/USDT,$0.0931,$3.94 million,$3.94 million
255,RIF/USDT,$0.2628,$3.93 million,$3.93 million
256,BNT/BTC,$2.71,$3.87 million,$3.87 million
257,TWT/BTC,$0.6504,$3.81 million,$3.81 million
258,YFII/BTC,$2329.40,$3.75 million,$3.75 million
259,LINK/USDC,$26.55,$3.71 million,$3.71 million
260,SCRT/BTC,$1.76,$3.69 million,$3.69 million
261,LSK/USDT,$1.88,$3.69 million,$3.69 million
262,LTC/BNB,$177.45,$3.65 million,$3.65 million
263,CHR/BTC,$0.0536,$3.64 million,$3.64 million
264,MITH/USDT,$0.01616,$3.61 million,$3.61 million
265,NMR/USDT,$38.45,$3.59 million,$3.59 million
266,EASY/ETH,$15.91,$3.54 million,$3.54 million
267,SXP/BNB,$2.44,$3.53 million,$3.53 million
268,WAN/BTC,$0.6288,$3.48 million,$3.48 million
269,BZRX/BTC,$0.5620,$3.45 million,$3.45 million
270,DREP/BTC,$0.00658,$3.44 million,$3.44 million
271,COS/USDT,$0.01358,$3.37 million,$3.37 million
272,WTC/USDT,$0.5787,$3.31 million,$3.31 million
273,UMA/BTC,$28.64,$3.27 million,$3.27 million
274,MTL/BTC,$0.6904,$3.21 million,$3.21 million
275,NEO/ETH,$31.25,$3.19 million,$3.19 million
276,LSK/BTC,$1.87,$3.19 million,$3.19 million
277,BTT/USDC,$0.001226,$3.19 million,$3.19 million
278,REP/USDT,$23.54,$3.17 million,$3.17 million
279,AAVE/BNB,$501.21,$3.16 million,$3.16 million
280,TRX/BNB,$0.0481,$3.15 million,$3.15 million
281,AST/BTC,$0.2149,$3.14 million,$3.14 million
282,XVG/ETH,$0.01945,$3.12 million,$3.12 million
283,ALPHA/BNB,$2.12,$3.11 million,$3.11 million
284,DREP/USDT,$0.00628,$3.10 million,$3.10 million
285,CELO/USDT,$3.55,$3.10 million,$3.10 million
286,MANA/BTC,$0.2380,$3.09 million,$3.09 million
287,DCR/USDT,$98.71,$2.99 million,$2.99 million
288,AGI/BTC,$0.1411,$2.97 million,$2.97 million
289,DCR/BTC,$98.20,$2.95 million,$2.95 million
290,BAND/BNB,$13.68,$2.88 million,$2.88 million
291,WRX/USDT,$0.1416,$2.87 million,$2.87 million
292,IRIS/USDT,$0.1031,$2.85 million,$2.85 million
293,ADX/BTC,$0.6156,$2.81 million,$2.81 million
294,PAXG/BTC,$1847.81,$2.80 million,$2.80 million
295,IOTX/USDT,$0.01560,$2.79 million,$2.79 million
296,INJ/BNB,$15.26,$2.77 million,$2.77 million
297,TCT/USDT,$0.01743,$2.73 million,$2.73 million
298,SKL/BTC,$0.2083,$2.72 million,$2.72 million
299,RLC/BTC,$1.69,$2.72 million,$2.72 million
300,WIN/BNB,$0.000172,$2.71 million,$2.71 million
301,BLZ/BTC,$0.1698,$2.64 million,$2.64 million
302,EOS/BNB,$4.16,$2.63 million,$2.63 million
303,QKC/BTC,$0.01129,$2.61 million,$2.61 million
304,DUSK/USDT,$0.1183,$2.61 million,$2.61 million
305,JST/BTC,$0.0475,$2.59 million,$2.59 million
306,STRAX/BTC,$0.9509,$2.59 million,$2.59 million
307,HOT/BNB,$0.001228,$2.52 million,$2.52 million
308,DNT/BTC,$0.1938,$2.46 million,$2.46 million
309,PERL/BTC,$0.0640,$2.45 million,$2.45 million
310,ATOM/BNB,$15.27,$2.36 million,$2.36 million
311,WNXM/USDT,$54.91,$2.34 million,$2.34 million
312,NULS/USDT,$0.4610,$2.33 million,$2.33 million
313,EOS/TUSD,$4.14,$2.33 million,$2.33 million
314,BCH/BNB,$509.79,$2.33 million,$2.33 million
315,RIF/BTC,$0.2615,$2.32 million,$2.32 million
316,UTK/USDT,$0.3208,$2.29 million,$2.29 million
317,MIOTA/ETH,$0.7144,$2.29 million,$2.29 million
318,BTS/BTC,$0.0522,$2.26 million,$2.26 million
319,FUN/BTC,$0.0376,$2.24 million,$2.24 million
320,STORJ/BTC,$0.5949,$2.21 million,$2.21 million
321,XLM/BNB,$0.4020,$2.20 million,$2.20 million
322,GTO/BTC,$0.02210,$2.20 million,$2.20 million
323,ARPA/BTC,$0.03339,$2.19 million,$2.19 million
324,ZIL/ETH,$0.0947,$2.19 million,$2.19 million
325,XLM/ETH,$0.3986,$2.12 million,$2.12 million
326,CKB/BTC,$0.00800,$2.11 million,$2.11 million
327,DATA/USDT,$0.0771,$2.09 million,$2.09 million
328,THETA/ETH,$2.92,$2.07 million,$2.07 million
329,CTSI/USDT,$0.0916,$2.06 million,$2.06 million
330,TRX/XRP,$0.0473,$2.05 million,$2.05 million
331,VET/BNB,$0.0369,$2.02 million,$2.02 million
332,MFT/ETH,$0.01640,$2.02 million,$2.02 million
333,EOS/USDC,$4.14,$2.00 million,$2.00 million
334,CTXC/USDT,$0.1571,$1.99 million,$1.99 million
335,NEBL/BTC,$1.61,$1.97 million,$1.97 million
336,GRT/ETH,$0.9746,$1.95 million,$1.95 million
338,ONG/USDT,$0.2853,$1.92 million,$1.92 million
337,VIDT/BTC,$0.5860,$1.91 million,$1.91 million
339,NKN/USDT,$0.0527,$1.91 million,$1.91 million
340,BEAM/USDT,$0.4861,$1.89 million,$1.89 million
341,MFT/BNB,$0.01646,$1.89 million,$1.89 million
342,COS/BTC,$0.01317,$1.86 million,$1.86 million
343,ETHOS/ETH,$2.44,$1.86 million,$1.86 million
344,TRB/BTC,$42.61,$1.86 million,$1.86 million
345,SOL/BNB,$7.95,$1.84 million,$1.84 million
346,POWR/BTC,$0.1486,$1.82 million,$1.82 million
348,ARDR/USDT,$0.1073,$1.80 million,$1.80 million
347,SNT/BTC,$0.0691,$1.80 million,$1.80 million
349,STPT/USDT,$0.02703,$1.79 million,$1.79 million
350,ALGO/BNB,$1.04,$1.79 million,$1.79 million
351,ONE/BNB,$0.01911,$1.77 million,$1.77 million
352,PAXG/BNB,$1862.66,$1.77 million,$1.77 million
353,LOOM/BTC,$0.0701,$1.77 million,$1.77 million
354,UTK/BTC,$0.3198,$1.77 million,$1.77 million
355,BTG/BTC,$14.30,$1.74 million,$1.74 million
356,ORN/BTC,$5.38,$1.68 million,$1.68 million
357,CREAM/BNB,$230.91,$1.66 million,$1.66 million
358,OGN/BNB,$0.5061,$1.63 million,$1.63 million
359,PPT/BTC,$1.60,$1.61 million,$1.61 million
360,CELR/BNB,$0.01797,$1.60 million,$1.60 million
361,CVC/BTC,$0.2427,$1.59 million,$1.59 million
362,MIOTA/BNB,$0.7222,$1.57 million,$1.57 million
363,HEGIC/ETH,$0.3834,$1.57 million,$1.57 million
365,KMD/USDT,$0.8575,$1.56 million,$1.56 million
364,NMR/BTC,$38.33,$1.56 million,$1.56 million
366,SUSHI/BNB,$14.35,$1.55 million,$1.55 million
367,DATA/BTC,$0.0762,$1.54 million,$1.54 million
368,PIVX/BTC,$0.5620,$1.52 million,$1.52 million
369,WTC/BTC,$0.5738,$1.51 million,$1.51 million
371,SCRT/ETH,$1.76,$1.50 million,$1.50 million
370,GAS/BTC,$2.61,$1.50 million,$1.50 million
372,SYS/BTC,$0.1242,$1.50 million,$1.50 million
374,BTT/TUSD,$0.001244,$1.49 million,$1.49 million
373,KMD/BTC,$0.8512,$1.49 million,$1.49 million
375,OXT/BTC,$0.4454,$1.48 million,$1.48 million
376,SC/ETH,$0.01041,$1.47 million,$1.47 million
377,LRC/ETH,$0.6653,$1.45 million,$1.45 million
378,IRIS/BTC,$0.1030,$1.45 million,$1.45 million
379,QLC/BTC,$0.0522,$1.44 million,$1.44 million
380,STX/BNB,$0.5504,$1.44 million,$1.44 million
381,NEO/BNB,$31.62,$1.43 million,$1.43 million
382,SNM/BTC,$0.01787,$1.40 million,$1.40 million
383,NKN/BTC,$0.0527,$1.39 million,$1.39 million
384,NANO/ETH,$4.64,$1.39 million,$1.39 million
385,GXS/USDT,$0.4787,$1.36 million,$1.36 million
386,SNX/BNB,$24.00,$1.36 million,$1.36 million
387,XMR/ETH,$168.63,$1.36 million,$1.36 million
388,ARDR/BTC,$0.1068,$1.35 million,$1.35 million
389,ELF/BTC,$0.1956,$1.35 million,$1.35 million
390,BCH/USDC,$506.16,$1.34 million,$1.34 million
391,YFI/BNB,$34496.02,$1.34 million,$1.34 million
392,DOCK/USDT,$0.03247,$1.33 million,$1.33 million
393,OST/ETH,$0.01801,$1.32 million,$1.32 million
394,VTHO/BNB,$0.00287,$1.31 million,$1.31 million
395,DUSK/BTC,$0.1180,$1.31 million,$1.31 million
396,AION/BTC,$0.0926,$1.28 million,$1.28 million
397,VIB/BTC,$0.0395,$1.26 million,$1.26 million
398,BNB/TUSD,$104.88,$1.25 million,$1.25 million
399,MATIC/BNB,$0.1001,$1.24 million,$1.24 million
400,TCT/BTC,$0.01740,$1.23 million,$1.23 million
401,XTZ/BNB,$3.85,$1.22 million,$1.22 million
402,STEEM/BTC,$0.2540,$1.21 million,$1.21 million
403,ANT/BTC,$5.68,$1.19 million,$1.19 million
404,SKY/BTC,$1.12,$1.19 million,$1.19 million
405,GVT/BTC,$3.45,$1.19 million,$1.19 million
406,DOCK/BTC,$0.03245,$1.18 million,$1.18 million
407,AVA/USDT,$1.87,$1.18 million,$1.18 million
408,KEY/ETH,$0.00540,$1.16 million,$1.16 million
409,IOTX/BTC,$0.01552,$1.16 million,$1.16 million
410,ARK/BTC,$0.5959,$1.15 million,$1.15 million
411,WAVES/ETH,$10.35,$1.15 million,$1.15 million
412,IDEX/BTC,$0.0658,$1.14 million,$1.14 million
413,PHB/BTC,$0.00611,$1.14 million,$1.14 million
414,TROY/BNB,$0.00760,$1.13 million,$1.13 million
415,BCD/BTC,$0.8216,$1.13 million,$1.13 million
416,ETC/ETH,$9.59,$1.11 million,$1.11 million
417,CELO/BTC,$3.53,$1.11 million,$1.11 million
418,WRX/BTC,$0.1411,$1.09 million,$1.09 million
419,POLY/BTC,$0.1345,$1.08 million,$1.08 million
420,REQ/BTC,$0.0621,$1.06 million,$1.06 million
421,AVA/BTC,$1.86,$1.05 million,$1.05 million
422,ZRX/ETH,$1.55,$1.04 million,$1.04 million
423,BRD/BTC,$0.1561,$1.04 million,$1.04 million
424,MITH/BTC,$0.01646,$1.03 million,$1.03 million
425,THETA/BNB,$2.92,$1.02 million,$1.02 million
426,EVX/BTC,$0.4882,$1.02 million,$1.02 million
427,HIVE/BTC,$0.1952,$1.02 million,$1.02 million
430,KNC/ETH,$1.93,$1.01 million,$1.01 million
428,CTSI/BTC,$0.0908,$1.01 million,$1.01 million
429,REP/BTC,$23.42,$1.01 million,$1.01 million
431,WNXM/BTC,$54.65,$1.01 million,$1.01 million
432,OMG/ETH,$5.17,$1.01 million,$1.01 million
433,BOT/BTC,$1818.65,$1.00 million,$1.00 million
434,VIA/BTC,$0.6330,$998245.53,$998245.53
435,OAX/BTC,$0.1989,$969208.94,$969208.94
436,FET/BNB,$0.2442,$941140.66,$941140.66
437,ONT/ETH,$0.8428,$940406.88,$940406.88
438,AMB/BTC,$0.02869,$938443.77,$938443.77
439,COTI/BNB,$0.1070,$934592.14,$934592.14
440,FRONT/ETH,$1.04,$931932.78,$931932.78
441,DGB/BNB,$0.0517,$924062.82,$924062.82
442,VITE/USDT,$0.02969,$914923.02,$914923.02
443,ZIL/BNB,$0.0961,$882802.87,$882802.87
444,MBL/BNB,$0.00219,$880648.69,$880648.69
445,MTH/BTC,$0.02116,$857575.66,$857575.66
446,WABI/BTC,$0.1585,$855663.94,$855663.94
447,TNB/BTC,$0.00282,$847555.38,$847555.38
448,RDN/BTC,$0.3292,$828826.37,$828826.37
449,YOYO/BTC,$0.01646,$819866.57,$819866.57
450,NEO/USDC,$31.20,$815217.99,$815217.99
451,AERGO/BTC,$0.0673,$812925.03,$812925.03
452,RSR/BNB,$0.0469,$810899.48,$810899.48
453,GRS/BTC,$0.4755,$806434.35,$806434.35
454,ZEC/ETH,$108.10,$804506.92,$804506.92
455,QSP/BTC,$0.0437,$803447.18,$803447.18
456,WAVES/BNB,$10.45,$787442.28,$787442.28
457,DASH/ETH,$131.45,$780685.43,$780685.43
458,ICX/ETH,$0.9269,$773149.16,$773149.16
459,ZEN/ETH,$42.77,$716964.27,$716964.27
460,BEAM/BTC,$0.4844,$703929.42,$703929.42
461,XEM/ETH,$0.3366,$702861.52,$702861.52
462,HNT/BTC,$3.90,$696829.52,$696829.52
463,POA/BTC,$0.03527,$696407.00,$696407.00
464,KSM/BNB,$131.24,$677276.41,$677276.41
465,ONG/BTC,$0.2845,$671946.32,$671946.32
466,APPC/BTC,$0.0705,$662318.89,$662318.89
467,VIBE/BTC,$0.02022,$660211.49,$660211.49
468,JST/BNB,$0.0478,$659397.29,$659397.29
469,NCASH/ETH,$0.00186,$657879.91,$657879.91
